frame,segment_id,centroid_y,centroid_x,length_px,length_um,angle_rad,n_pixels,y0,x0,y1,x1,track_id
0,1,86.11111111111111,60.888888888888886,9.242640687119284,1.7006458864299483,2.844111129597846,9,84.0,64.0,86.0,57.0,0
4,1,43.0,47.23076923076923,12.414213562373096,2.2842152954766495,1.6535094965412633,13,37.0,48.0,49.0,47.0,1
5,1,32.0,49.111111111111114,8.414213562373096,1.5482152954766497,1.638056828252994,9,36.0,49.0,28.0,50.0,2
5,2,45.4,52.7,9.82842712474619,1.808430590953299,1.2686310363776812,10,49.0,55.0,41.0,52.0,1
6,1,41.94444444444444,50.5,20.727922061357855,3.813937659289845,0.4903486974490779,18,37.0,42.0,46.0,59.0,3
7,1,42.94736842105263,50.0,21.31370849898476,3.9217223638131955,0.41819556322438955,19,47.0,59.0,39.0,41.0,3
8,1,45.81818181818182,52.54545454545455,23.071067811865476,4.245076477383248,3.019611426114453,22,45.0,43.0,43.0,63.0,3
9,1,44.75,47.5,3.82842712474619,0.704430590953299,0.6298990230946776,4,44.0,46.0,46.0,49.0,4
10,1,42.333333333333336,49.5,22.798989873223334,4.195014136673094,0.7447575626559824,18,49.0,58.0,35.0,41.0,5
11,1,47.5,52.666666666666664,6.242640687119285,1.1486458864299485,2.0590017423987965,6,50.0,51.0,45.0,54.0,6
12,1,45.90909090909091,57.0,11.65685424949238,2.144861181906598,0.4377661441456115,11,44.0,52.0,48.0,62.0,7
39,1,39.6,51.6,11.071067811865476,2.0370764773832475,2.356194490192345,10,36.0,53.0,41.0,48.0,8
41,1,80.5,71.25,9.485281374238571,1.7452917728598971,2.283788241072876,8,84.0,68.0,77.0,74.0,9
49,1,87.0,61.0,2.0,0.368,1.5707963267948966,3,88.0,61.0,86.0,61.0,10
50,1,57.0,67.33333333333333,9.65685424949238,1.7768611819065978,1.9528587154815902,9,53.0,69.0,61.0,67.0,11
50,2,85.0,62.666666666666664,2.414213562373095,0.44421529547664945,2.062193188418561,3,84.0,63.0,86.0,62.0,10
51,1,83.75,66.5,3.414213562373095,0.6282152954766494,2.8342611776287105,4,84.0,65.0,83.0,68.0,12
52,1,82.55555555555556,63.0,8.414213562373096,1.5482152954766497,0.16662215055583635,9,83.0,67.0,82.0,59.0,13
53,1,84.0,68.0,5.414213562373095,0.9962152954766494,0.7853981633974485,6,82.0,67.0,85.0,70.0,14
78,1,48.5,62.0,3.0,0.552,1.5707963267948966,4,47.0,62.0,50.0,62.0,15
