frame,filament_id,size_px,length_px,z,y,x
6,4,8,5.84,0.125,86.875,69.0
7,3,12,4.35,0.16666666666666666,61.666666666666664,65.75
11,4,5,3.46,0.4,84.4,67.8
16,4,5,2.83,0.0,85.0,68.0
18,4,17,7.23,0.058823529411764705,89.23529411764706,64.58823529411765
19,4,37,12.53,0.1891891891891892,87.86486486486487,65.24324324324324
20,4,10,7.64,0.0,86.4,65.7
23,4,38,10.63,0.21052631578947367,83.52631578947368,68.63157894736842
24,4,16,14.96,0.3125,83.625,67.0625
25,4,21,16.53,0.38095238095238093,85.04761904761905,65.66666666666667
26,4,5,3.46,0.0,80.8,68.6
32,4,10,4.72,0.0,81.8,69.7
40,4,13,5.26,0.3076923076923077,85.0,67.3076923076923
48,4,19,17.43,0.3684210526315789,85.26315789473684,60.73684210526316
49,4,14,9.65,0.0,85.35714285714286,60.142857142857146
