frame, filament_id, size_px, length_px, z                  , y                 , x
    2,           1,       7,      4.49, 0.5714285714285714 , 50.57142857142857 , 39.285714285714285
    2,           2,      15,      5.86, 0.06666666666666667, 55.0              , 87.0
    3,           1,      12,      4.67, 2.0                , 48.5              , 43.0
    3,           2,      23,      6.81, 0.8695652173913043 , 55.47826086956522 , 85.26086956521739
    4,           1,      36,      8.75, 1.1388888888888888 , 42.916666666666664, 41.916666666666664
    4,           2,      28,      7.5 , 0.9285714285714286 , 53.892857142857146, 85.92857142857143
    5,           1,      24,      6.67, 0.75               , 42.291666666666664, 39.958333333333336
    5,           2,      21,      5.99, 1.0                , 53.23809523809524 , 88.57142857142857
    5,           4,      17,      5.34, 0.6470588235294118 , 67.11764705882354 , 70.58823529411765
    6,           1,      35,      7.84, 1.0                , 45.57142857142857 , 38.08571428571429
    6,           2,      22,      6.22, 0.7272727272727273 , 55.22727272727273 , 89.13636363636364
    6,           4,      18,      4.99, 0.6111111111111112 , 70.33333333333333 , 70.38888888888889
    7,           1,      25,      7.17, 0.48               , 45.88             , 34.48
    7,           2,      22,      6.52, 0.5454545454545454 , 54.5              , 87.22727272727273
    7,           4,      12,      5.11, 0.3333333333333333 , 71.16666666666667 , 68.91666666666667
    8,           1,      34,      7.87, 0.5588235294117647 , 46.23529411764706 , 35.1764705882353
    8,           2,      24,      6.35, 0.7916666666666666 , 53.166666666666664, 86.95833333333333
    8,           4,      15,      5.34, 0.5333333333333333 , 73.46666666666667 , 66.8
    9,           1,      34,      7.95, 0.8529411764705882 , 46.11764705882353 , 34.5
    9,           2,      25,      6.75, 0.76               , 51.52             , 87.24
    9,           4,      10,      4.3 , 0.5                , 72.4              , 67.5
   10,           1,      28,      6.52, 0.42857142857142855, 48.035714285714285, 36.42857142857143
   10,           2,      28,      7.44, 0.8571428571428571 , 48.82142857142857 , 89.5
   10,           4,      16,      4.84, 0.5                , 73.4375           , 67.6875
   11,           1,      28,      6.9 , 0.5357142857142857 , 48.32142857142857 , 35.82142857142857
   11,           2,      21,      6.18, 0.42857142857142855, 49.61904761904762 , 90.0
   11,           4,      10,      4.32, 0.4                , 73.5              , 68.8
   12,           1,      33,      7.34, 0.7272727272727273 , 47.75757575757576 , 36.303030303030305
   12,           2,      28,      6.78, 0.5714285714285714 , 48.392857142857146, 90.64285714285714
   12,           4,      18,      5.28, 0.6111111111111112 , 73.55555555555556 , 68.11111111111111
   13,           1,      29,      6.91, 0.5517241379310345 , 46.86206896551724 , 36.275862068965516
   13,           2,      21,      6.26, 0.6190476190476191 , 46.857142857142854, 90.14285714285714
   13,           4,      17,      5.34, 0.7647058823529411 , 72.88235294117646 , 67.41176470588235
   14,           1,      41,      9.19, 0.6341463414634146 , 48.02439024390244 , 37.19512195121951
   14,           2,      29,      6.91, 0.7586206896551724 , 47.13793103448276 , 90.72413793103448
   14,           4,      16,      6.25, 0.5625             , 73.0              , 69.0625
   15,           1,      32,      7.7 , 0.4375             , 50.65625          , 37.03125
   15,           2,      29,      6.95, 0.5517241379310345 , 50.41379310344828 , 90.03448275862068
   15,           4,      15,      4.66, 0.3333333333333333 , 76.06666666666666 , 68.2
   16,           1,      30,      6.84, 0.7                , 52.8              , 35.1
   16,           2,      24,      6.21, 0.5                , 52.125            , 88.33333333333333
   16,           4,      12,      4.66, 1.0                , 77.5              , 66.66666666666667
   17,           1,      56,     13.53, 0.6071428571428571 , 54.07142857142857 , 35.75
   17,           2,      23,      6.5 , 0.782608695652174  , 54.130434782608695, 88.08695652173913
   17,           4,      24,      6.01, 0.875              , 80.0              , 66.08333333333333
   18,           1,      46,     13.59, 0.4782608695652174 , 51.21739130434783 , 39.02173913043478
   18,           2,      23,      6.82, 0.6521739130434783 , 53.73913043478261 , 88.95652173913044
   18,           4,      15,      5.4 , 0.6                , 79.86666666666666 , 66.93333333333334
   19,           1,      43,     11.14, 0.627906976744186  , 50.46511627906977 , 39.116279069767444
   19,           2,      25,      6.83, 0.52               , 52.76             , 90.88
   19,           4,      23,      6.82, 0.7391304347826086 , 78.3913043478261  , 68.8695652173913
   20,           1,      12,      9.1 , 0.8333333333333334 , 48.916666666666664, 38.916666666666664
   20,           2,      25,      6.57, 0.56               , 52.16             , 90.16
   20,           4,      15,      5.44, 0.6666666666666666 , 77.4              , 68.66666666666667
   21,           1,      32,     10.19, 0.53125            , 47.375            , 40.0
   21,           2,      22,      5.63, 0.5909090909090909 , 49.90909090909091 , 90.9090909090909
   21,           4,       6,      3.43, 0.8333333333333334 , 75.83333333333333 , 69.83333333333333
   22,           1,      24,     10.04, 0.5                , 46.041666666666664, 41.666666666666664
   22,           2,      24,      6.96, 0.75               , 48.666666666666664, 91.20833333333333
   22,           4,      10,      4.62, 0.7                , 74.5              , 70.0
   23,           1,      37,     13.28, 0.8648648648648649 , 45.351351351351354, 40.5945945945946
   23,           2,      24,      6.67, 0.4166666666666667 , 47.708333333333336, 92.04166666666667
   23,           4,      14,      5.1 , 0.21428571428571427, 73.57142857142857 , 70.42857142857143
   24,           1,      23,      7.35, 0.391304347826087  , 46.130434782608695, 39.26086956521739
   24,           2,      23,      5.86, 0.9130434782608695 , 48.78260869565217 , 89.91304347826087
   25,           1,      49,     12.46, 1.0408163265306123 , 47.795918367346935, 38.6530612244898
   25,           2,      29,      7.14, 0.7931034482758621 , 51.724137931034484, 89.48275862068965
   26,           1,      27,      8.51, 1.1111111111111112 , 49.55555555555556 , 37.2962962962963
   26,           2,      24,      6.72, 0.6666666666666666 , 51.875            , 88.5
   27,           1,      23,     14.84, 0.8695652173913043 , 50.43478260869565 , 36.65217391304348
   27,           2,      23,      6.71, 0.5652173913043478 , 54.08695652173913 , 87.6086956521739
   28,           1,      24,     14.99, 0.3333333333333333 , 49.958333333333336, 39.416666666666664
   28,           2,      27,      7.36, 0.5185185185185185 , 54.0              , 86.92592592592592
   29,           1,      24,     16.23, 0.08333333333333333, 49.541666666666664, 40.083333333333336
   29,           2,      26,      7.32, 0.6923076923076923 , 53.57692307692308 , 85.6923076923077
   30,           1,      51,     15.77, 0.5098039215686274 , 47.86274509803921 , 38.588235294117645
   30,           2,      25,      6.53, 0.52               , 51.76             , 85.96
   31,           1,      21,     13.45, 0.5238095238095238 , 47.0              , 38.523809523809526
   31,           2,      25,      7.66, 0.92               , 49.76             , 87.64
   32,           1,      62,     14.57, 0.8064516129032258 , 45.38709677419355 , 39.274193548387096
   32,           2,      25,      6.86, 0.68               , 48.96             , 88.08
   32,           4,      22,      6.95, 0.45454545454545453, 75.4090909090909  , 59.72727272727273
   33,           1,      10,      5.39, 0.2                , 45.3              , 39.6
   33,           2,      22,      6.41, 0.5                , 48.27272727272727 , 89.86363636363636
   33,           4,       9,      4.12, 0.1111111111111111 , 75.66666666666667 , 60.888888888888886
   34,           1,      24,      7.44, 0.5                , 46.958333333333336, 37.375
   34,           2,      21,      6.99, 0.7142857142857143 , 48.095238095238095, 88.61904761904762
   35,           1,       8,      3.7 , 0.625              , 49.5              , 35.0
   35,           2,      15,      5.44, 0.4                , 50.06666666666667 , 88.26666666666667
   36,           1,       5,      3.46, 0.2                , 54.2              , 35.4
   36,           2,      18,     12.54, 0.5                , 53.22222222222222 , 88.27777777777777
   37,           1,      13,      5.14, 0.7692307692307693 , 51.61538461538461 , 36.69230769230769
   37,           2,      22,     10.02, 0.45454545454545453, 52.04545454545455 , 86.81818181818181
   38,           1,      15,     20.51, 0.4666666666666667 , 49.46666666666667 , 43.733333333333334
   38,           2,      27,      7.74, 0.25925925925925924, 50.888888888888886, 85.48148148148148
   39,           1,      22,     14.68, 0.6818181818181818 , 49.18181818181818 , 37.72727272727273
   41,           2,       8,      4.01, 0.0                , 49.875            , 91.5
   43,           3,      15,      5.44, 0.2                , 35.93333333333333 , 65.73333333333333
   44,           1,      10,     11.88, 0.1                , 48.8              , 37.0
   46,           1,      16,      7.33, 0.4375             , 50.8125           , 38.3125
   48,           3,       7,      3.87, 0.2857142857142857 , 43.142857142857146, 61.285714285714285
