frame,filament_id,size_px,length_px,z,y,x
18,4,11,4.56,0.0,82.63636363636364,64.9090909090909
21,4,10,4.32,0.1,88.8,61.5
22,4,27,6.89,0.3333333333333333,85.81481481481481,61.51851851851852
23,4,13,5.42,0.07692307692307693,85.84615384615384,62.0
29,4,9,4.01,0.1111111111111111,80.22222222222223,60.666666666666664
30,4,7,6.56,0.0,79.28571428571429,61.0
31,4,10,4.32,0.3,76.9,62.8
32,4,11,4.75,0.18181818181818182,76.81818181818181,64.45454545454545
33,4,14,7.98,0.21428571428571427,84.85714285714286,66.21428571428571
34,4,11,17.92,0.0,79.63636363636364,64.63636363636364
43,2,7,3.94,0.0,51.857142857142854,60.42857142857143
46,4,8,3.7,0.75,90.125,61.125
47,2,5,2.83,0.0,59.0,60.0
48,2,9,9.61,0.3333333333333333,58.44444444444444,57.666666666666664
48,4,5,3.46,1.0,87.8,60.6
49,2,17,5.11,0.23529411764705882,56.529411764705884,59.35294117647059
